planID,benefitClassID,effectiveDate,terminationDate,savedUserID,savedDateTime
163764,146425,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-02-18 10:11:05.103'
163764,146426,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-02-18 10:12:05.620'
163765,145538,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 14:58:24.433'
163765,145756,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',21571907,'2018-07-12 11:53:21.920'
163765,145964,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',8699036,'2018-06-04 15:30:37.030'
163765,146391,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-01-29 13:56:01.550'
163765,146424,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-02-18 10:06:34.810'
163766,145512,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 15:22:22.067'
163766,145513,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 14:56:13.570'
163766,145514,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 14:49:49.463'
163766,145515,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',8589525,'2018-03-20 12:56:14.890'
163766,145518,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 15:03:02.820'
163766,145519,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',8699036,'2018-06-13 08:54:44.390'
163766,145537,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 15:01:00.673'
163766,145538,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 14:58:24.403'
163766,145586,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 15:10:00.040'
163766,145754,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',8699036,'2018-06-13 08:54:57.897'
163766,145755,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',8699036,'2018-06-13 08:55:11.010'
163766,145756,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',21571907,'2018-07-12 11:53:21.920'
163766,145773,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',8699036,'2018-06-13 09:00:20.010'
163766,145774,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2018-12-13 10:42:18.820'
163766,145775,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 15:11:33.713'
163766,145821,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 14:52:03.190'
163766,145822,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 14:53:55.527'
163766,145823,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 15:05:54.950'
163766,145824,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9386948,'2018-10-16 15:08:22.500'
163766,145898,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',8699036,'2018-05-01 13:17:03.390'
163766,145964,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',8699036,'2018-06-04 15:30:37.040'
163766,146388,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-01-29 13:53:01.713'
163766,146389,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-01-29 13:54:00.893'
163766,146390,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-01-29 13:55:01.450'
163766,146391,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-01-29 13:56:01.550'
163766,146392,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-01-29 13:57:01.007'
163766,146422,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-02-12 13:30:01.243'
163766,146424,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-02-18 10:03:35.780'
163766,146425,'1900-01-01 00:00:00.000','9999-12-31 00:00:00.000',9408554,'2019-02-18 10:11:05.103'
